year,cat_num,entries,cat_name,gold_beer,gold_brewery,gold_city,gold_state,silver_beer,silver_brewery,silver_city,silver_state,bronze_beer,bronze_brewery,bronze_city,bronze_state
2003,2,29,American Lager/Ale or Cream Ale,Red Dog,Plank Road Brewery,Milwaukee,WI,Milwaukee's Best,Miller Brewing,Milwaukee,WI,Old Style,Pabst Brewing,San Antonio,TX
2013,34,37,American-Style Cream Ale,Natural Ice,Anheuser-Busch,St. Louis,MO,Old Style,Pabst Brewing,Los Angeles,CA,Rainier,Pabst Brewing,Los Angeles,CA
2011,33,31,American-Style Specialty Lager or Cream Ale or Lager,Red Dog,Miller Brewing,Milwaukee,WI,Rainier,Pabst Brewing,Woodridge,IL,Old Style,Pabst Brewing,Woodridge,IL
2010,30,42,American-Style Specialty Lager or Cream Ale,Hamm’s,Miller Brewing,Milwaukee,WI,Rainier,Pabst Brewing,Woodridge,IL,Old Style,Pabst Brewing,Woodridge,IL
2004,22,14,American-Style Premium Lager,Coors Original,Coors Brewing,Golden,CO,Miller High Life,Miller Brewing,Milwaukee,WI,Pabst Blue Ribbon,Pabst Brewing,San Antonio,TX
2004,21,14,American-Style Lager,Old Milwaukee,Pabst Brewing,San Antonio,TX,Milwaukee's Best,Miller Brewing,Milwaukee,WI,Schlitz,Pabst Brewing,San Antonio,TX
2004,23,19,American-Style Specialty Lager,Samurai Malt Liquor,Rock Bottom,Long Beach,CA,Schlitz Malt Liquor,Pabst Brewing,San Antonio,TX,St. Ides Malt Liquor,Pabst Brewing,San Antonio,TX
2015,51,46,Classic English-Style Pale Ale,Mr. Kite’s Pale Ale,Social Kitchen & Brewery,San Francisco,CA,India Pale Ale,Arcadia Brewing Co.,Kalamazoo,MI,PBW Pale Ale,Paducah Beer Werks,Paducah,KY
2015,22,71,American-Belgo-Style Ale,Le Freak,Green Flash Brewing Co.,San Diego,CA,Summer Saison,Blackberry Farm Brewery,Walland,TN,Salad Days American Saison,Pale Fire Brewing Co.,Harrisonburg,VA
2005,68,24,Other Strong Ale or Lager,Wheat Wine,Smuttynose Brewing,Portsmouth,NH,Double Bastard Ale,Stone Brewing,San Marcos,CA,El Robusto Porter,Papago Brewing Co.,Scottsdale,AZ
2001,17,22,American-Style Lager,Stag Beer,Pearl Brewing Co.,Fort Worth,TX,Red Dog,Plank Road Brewery,Milwaukee,WI,Pearl Lager,Pearl Brewing Co.,Fort Worth,TX
2013,77,31,Foreign-Style Stout,Fade to Black Volume 1,Left Hand Brewing Co.,Longmont,CO,Don Vanuchi “The Killer”,Baker City Brewing Co.,Baker City,OR,Tsunami Stout,Pelican Brewing Co.,Pacifi c City,OR
2013,62,66,American-Style Brown Ale,Davy Brown Ale,Figueroa Mountain Brewing,Buellton,,End Of The Trail Brown Ale,Blue Corn Brewery,Santa Fe,NM,Doryman’s Dark Ale,Pelican Brewing Co.,Pacifi c City,OR
2014,48,37,English-Style Summer Ale,True Blonde Ale,Ska Brewing,Durango,CO,Ale 208,Grand Teton Brewing,Victor,ID,Surfer’s Summer Ale,Pelican Brewing Co.,Tillamook,OR
2013,44,69,Golden or Blonde Ale,Foam Top,Beachwood BBQ & Brewing,Long Beach,CA,Steelhead Extra Pale Ale,Mad River Brewing Co.,Blue Lake,CA,Kiwanda Cream Ale,Pelican Brewing Co.,Pacifi c City,OR
2008,12,82,Experimental Beer,Arquebus,Cambridge Brewing,Cambridge,MA,Fifteen Avery Anniversary Ale,Avery Brewing,Boulder,CO,Le Pelican Brun,Pelican Pub,Pacific City,OR
2012,59,29,Scottish-Style Ale,Wee Heavy,Maui Brewing,Lahaina,HI,Isle of Skye Scottish Ale,Boscos Brewing,Memphis,TN,MacPelican’s Scottish Style Ale,Pelican Pub,Pacifi c City,OR
2009,76,37,Scotch Ale,Reed’s Wee Heavy,Pizza Port,Carlsbad,CA,BagPiper’s Scotch Ale,Fegley’s Allentown & Bethlehem Brew Works,Allentown,PA,MacPelican’s Wee Heavy Ale,Pelican Pub,Pacific City,OR
2001,28,61,Golden or Blonde Ale,Golden Wheat Ale,Russian River Brewing,Guerneville,CA,Old Faithful Ale,Grand Teton Brewing,Victor,ID,Kiwanda Cream Ale,Pelican Pub,Pacific City,OR
2010,72,33,Foreign-Style Stout,Fade to Black,Left Hand Brewing Co.,Longmont,CO,Whiteface Stout,Great Adirondack Brewing Co.,Lake Placid,NY,Tsunami Stout,Pelican Pub,Pacific City,OR
2010,77,34,Scotch Ale,Reed’s Wee Heavy,Pizza Port,Carlsbad,CA,Wee Willy Scotch Ale,McCoy's Public House,Kansas City,MO,MacPelican’s Wee Heavy Ale,Pelican Pub,Pacific City,OR
2001,33,98,American-Style India Pale Ale,Tumbleweed IPA,Sleeping Giant Brewing Company,Billings,MT,Wipeout IPA,Pizza Port,Carlsbad,CA,India Pelican Ale,Pelican Pub,Pacific City,OR
2014,5,41,Belgian-Style Fruit Beer,Raspberry Provincial,Funkwerks,Fort Collins,CO,Saison en Regalia,Roadhouse Brewing Co.,Jackson,WY,Poire du Pélican,Pelican Pub,Pacific City,OR
2004,35,26,English-Style Summer Ale,Cascade Golden Ale,Deschutes Brewery,Bend,OR,Chasing Tail Ale,Utah Brewers,Salt Lake City,UT,Surfer's Summer Ale,Pelican Pub,Pacific City,OR
2008,26,16,Dortmunder or German-Style Oktoberfest,Rolling Thunder Dortmunder,Snake River Brewing,Jackson,WY,Westy Export,CB & Potts Restaurant & Brewery,Broomfield,CO,Penn Oktoberfest,Pennsylvania Brewing,Pittsburgh,PA
2011,37,23,European-Style Dunkel,Dunkel Lager,Glenwood Canyon Brewing,Glenwood Springs,CO,Chuckanut Dunkel,Chuckanut Brewery,Bellingham,WA,Penn Dark,Pennsylvania Brewing,Pittsburgh,PA
2013,7,39,Chocolate Beer,Chocolate Oak Aged Yeti Imperial Stout,Great Divide Brewing,Denver,CO,The Fix,Elysian Brewery,Seattle,WA,Chocolate Meltdown,Pennsylvania Brewing,Pittsburgh,PA
2002,43,65,German-Style Wheat Ale,DeGroen's Weizen,Baltimore Brewing,Baltimore,MD,Barley's Boulder Gold Hefeweizen,Barley's Casino,Henderson,NV,Penn Weizen,Pennsylvania Brewing,Pittsburgh,PA
1999,14,29,Munich-Style Helles,Velas Helles,Calhoun's Restaurant,Knoxville,TN,Lucknow Munich-style Lager,Castle Springs Brewing,Moultonborough,NH,Penn Gold,Pennsylvania Brewing,Pittsburgh,PA
1999,23,13,European-Style Dark / Münchner Dunkel,Atwater Dunkel,Atwater Block Brewery,Detroit,MI,Black Forest Dark,HofbrauHaus Brewery and Biergarten at Station Casino,Kansas City,MO,Penn Dark,Pennsylvania Brewing,Pittsburgh,PA
2004,27,21,European-Style Dark/Münchner Dunkel,Dunkles Bock,Boundary Bay Brewery,Bellingham,WA,Dark Munich Lager,Rock Bottom,Phoenix,AZ,Penn Dark,Pennsylvania Brewing,Pittsburgh,PA
2001,21,30,American-Style Amber Lager,Killians Irish Red,Coors Brewing,Golden,CO,OKT-OBER-FEST,Big Horn Brewing,Dallas,TX,Pete's Wicked Red Rush,Pete's Brewing,San Antonio,TX
2000,3,49,American-Style Wheat Ale or Lager,High Rollers Wheat Beer,Anderson Valley Brewing,Boonville,CA,Weiss Guy Wheat,Alcatraz Brewing Co.,Littleton,CO,Choc,Pete's Place,Krebs,OK
2009,37,40,Bock,Troegenator,Troegs Brewery,Harrisburg,PA,May Bock,Backcountry Brewery,Frisco,CO,Fornicator,Piece Brewery,Chicago,IL
2007,42,68,American-Style Pale Ale,Firestone Pale 31,Firestone Walker,Paso Robles,CA,Piranha Pale Ale,BJ's Restaurant & Brewery,Roseville/Portland/Huntington Beach,CA/OR/CA,Full Frontal Pale Ale,Piece Brewery,Chicago,IL
2015,17,43,Other Strong Beer,Ursa Minor,McCoy's Public House,Kansas City,MO,Humboldt Brownie,Mad River Brewing Co.,Blue Lake,CA,Take Back the Streets,Piece Brewery,Chicago,IL
2011,66,23,German-Style Wheat Ale,Boscos Hefeweizen,Boscos Brewing,Memphis,TN,Weizenbock,Sierra Nevada Brewing,Chico,CA,Dark-n-Curvy,Piece Brewery,Chicago,IL
2007,55,60,South German-Style Hefeweizen,Hefeweizen,Beaver Street Brewery,Flagstaff,AZ,Stoudts Weizen,Stoudts Brewing Co.,Adamstown,PA,Top Heavy Hefeweizen,Piece Brewery,Chicago,IL
2006,29,33,Bock,Maibock,Blind Tiger Brewery,Topeka,KS,Tröegenator Double Bock,Tröegs Brewing Co.,Harrisburg,PA,Fornicator Maibock,Piece Brewery,Chicago,IL
2002,30,39,German-Style Kölsch / Köln-Style Kölsch,Capitol Kolsch,Capitol City Brewing,Washington,DC,# 10 Kolsch,Wolf Pack Brewing,West Yellowstone,MT,Golden Arm,Piece Brewery,Chicago,IL
2006,68,30,Other Strong Ale or Lager,Winter Wheatwine,Rubicon Brewing Co.,Sacramento,CA,Dragonstooth Stout,Elysian Brewery,Seattle,WA,Pit Bull High Gravity Ice Malt Liquor,Pig’s Eye Brewing Co.,St. Paul,MN
2007,20,10,International-Style Pilsener,4K Pils,Deschutes Brewery,Bend,OR,Southside Pils,Gordon Biersch Brewery,Chattanooga,TN,Pig’s Eye Pilsner Beer,Pig’s Eye Brewing Co.,Woodbury,MN
2013,74,30,Brown Porter,Old Tom Porter,Piney River Brewing Co.,Bucyrus,MO,St. Charles Porter,Blackstone Brewing,Nashville,TN,Blind Jake,Pinthouse Pizza,Austin,TX
2014,90,109,Wood- and Barrel-Aged Strong Stout,A Night to End All Dawns,Kane Brewing Co.,Ocean,NJ,Bourbon Barrel Aged Dark Star,Fremont Brewing Co.,Seattle,WA,Jaguar Shark,Pinthouse Pizza,Austin,TX
2007,50,26,Scottish-Style Ale,1065 Brown Bear Brown,Rock Bottom,Bethesda,MD,Laughing Lab Scottish Ale,Bristol Brewing,Colorado Springs,CO,Commando Scottish Ale,Pizza Port,Solana Beach,CA
2008,5,72,Herb and Spice or Chocolate Beer,Russian Roulette,Minneapolis Town Hall Brewery,Minneapolis,MN,Pangaea,Dogfish Head Brewery,Milton,DE,State Beach Blonde,Pizza Port,Carlsbad,CA
2007,41,38,English-Style India Pale Ale,Squatters IPA,Utah Brewers,Salt Lake City,UT,India Pale Ale,Goose Island Beer Co.,Chicago,IL,Beech Street Bitter,Pizza Port,Carlsbad,CA
2008,70,19,Sweet Stout,Cream Stout,Redwood Brewing,Flint,MI,Milk Stout,Left Hand Brewing Co.,Longmont,CO,Cow Stout,Pizza Port,Carlsbad,CA
2015,58,94,American-Style Amber/Red Ale,Immersion Amber Ale,Two Beers Brewing Co.,Seattle,WA,Proletariat Red,Lompoc Brewing - The 5th Quadrant,Portland,OR,Sharkbite Red,Pizza Port,Carlsbad,CA
2002,28,14,German-Style Doppelbock,Samuel Adams Double Bock,Samuel Adams Brewing,Boston,MA,Liberator Doppelbock,Angelic Brewing,Madison,WI,Broken Keg Icebock,Pizza Port,Carlsbad,CA
2005,48,52,English-Style Brown Ale,Nut Brown Ale,Long Valley Pub,Long Valley,NJ,Alice B. Brownie,Big Horn Brewing,Westminster,CO,Dawn Patrol Dark,Pizza Port,Carlsbad,CA
2009,57,43,American-Style Brown Ale,Dirty Helen Brown Ale,Barley Island Brewing Co.,Noblesville,IN,Cheyenne Cañon Ale,Bristol Brewing,Colorado Springs,CO,Great American Brown,Pizza Port,Carlsbad,CA
2015,85,39,Export Stout,"Fade to Black, Volume 1",Left Hand Brewing Co.,Longmont,CO,Black Rock Stout,Crossroads Brewing Co.,Athens,NY,Z-man Stout,Pizza Port,Carlsbad,CA
2010,71,23,Classic Irish-Style Dry Stout,Hyde Park Stout,Augusta Brewing Co.,Washington,MO,McLuhr’s Irish Stout,Dillon DAM Brewery,Dillon,CO,Port Truck Stout,Pizza Port,Carlsbad,CA
