year,cat_num,entries,cat_name,gold_beer,gold_brewery,gold_city,gold_state,silver_beer,silver_brewery,silver_city,silver_state,bronze_beer,bronze_brewery,bronze_city,bronze_state
2011,20,40,Wood- and Barrel-Aged Beer,Velvet Merkin,Firestone Walker,Paso Robles,CA,Wee Pogue,Sun King Brewery,Indianapolis,IN,Pinot Jubel,Deschutes Brewery,Bend,OR
2003,47,26,German-Style Brown Ale/Düsseldorf-Style,Otter Creek Copper Ale,Otter Creek Brewing,Middlebury,VT,Ettinger Amber,Laurelwood Brewing,Portland,OR,All the Way Alt,Desert Edge Brewery,Salt Lake City,UT
2008,56,27,German-Style Altbier,The Detroit Dwarf,The Detroit Beer Co.,Detroit,MI,Railyard Ale,Titletown Brewing Co.,Green Bay,WI,All The Way Alt,Desert Edge Brewery,Salt Lake City,UT
1999,34,34,English-Style Bitter,,,,,Dergy's Amber,Wilmington Brewing Company,Wilmington,NC,Red Butte Bitter,Desert Edge Brewery,Salt Lake City,UT
2012,3,58,Fruit Beer,Dry Dock Apricot Blonde,Dry Dock Brewing,Aurora,CO,ChChChCh-Cherry Bomb,Thai Me Up Brewery,Jackson,WY,Strawberry Blonde Ale,DESTIHL,Normal,IL
2015,27,128,Wood- and Barrel-Aged Strong Stout,Ctayt,AC Golden Brewing Co.,Golden,CO,Sherry Ink,Rhinegeist Brewing,Cincinnati,OH,Dosvidanya,DESTIHL - Champaign,Champaign,IL
2013,13,51,Other Strong Beer,Mass Rising,Jack’s Abby Brewing,Framingham,MA,Power Wagon,Big Sky Brewing Co.,Missoula,MT,XX Dwarf,Detroit Beer Co.,Detroit,MI
2004,13,8,Beer With Yeast,Triumph Kellerbier,Triumph Brewing,New Hope,PA,Moonmen,SandLot Brewery at Coors Field,Denver,CO,The Detroit Dwarf,Detroit Beer Co.,Detroit,MI
1988,,NULL,Porters ,Anchor Porter ,Anchor Brewing Co,,,Chinook Porter ,Alaskan Brewing,,,The Devil's Brew ,Devil Mountain Brewery,,
2010,61,65,South German-Style Hefeweizen,Stoudts Heifer In Wheat,Stoudt Brewery,Adamstown,PA,U-Boat Hefeweizen,Dry Dock Brewing,Aurora,CO,Wintergreen Weiss,Devils Backbone Brewing,Roseland,VA
2012,77,25,Foreign-Style Stout,Starry Night Stout,Island Brewing,Carpinteria,CA,Whiteface Black Diamond Stout,Great Adirondack Brewing Co.,Lake Placid,NY,Ramsey’s Export Stout,Devils Backbone Brewing,Roseland,VA
2010,51,27,English-Style Mild Ale,Business Time Mild,Boulder Beer Co.,Boulder,CO,Skidmark Brown,Pizza Port,San Diego,CA,Ale of Fergus,Devils Backbone Brewing,Roseland,VA
2012,28,26,American-Style or International-Style Pilsener,Gold Country Pilsner,Auburn Alehouse,Auburn,CA,Redhook Pilsner,Redhook Brewery,Woodinville,WA,Gold Leaf Lager,Devils Backbone Brewing,OutpostLexington,VA
2013,43,16,Baltic-Style Porter,Black Eagle Baltic Porter,Black Tooth Brewing Co.,Sheridan,WY,The Hammer,Rock Bottom,Broomfi eld,CO,Danzig,Devils Backbone Brewing,Roseland,VA
2012,76,16,Classic Irish-Style Dry Stout,Seaside Stout,Pizza Port,Solana Beach,CA,Oyster Stout,Stewart’s Brewing Co.,Bear,DE,Ramsey’s Draft Stout,Devils Backbone Brewing,Roseland,VA
2013,56,35,English-Style Mild Ale,S.S. Minnow Mild,Dry Dock Brewing,South Dock,,Brawler,Yards Brewing Co.,Philadelphia,PA,Ale of Fergus,Devils Backbone Brewing,Roseland,VA
2014,67,33,German-Style Altbier,Red Alt,White Bluffs Brewing,Richland,WA,Dusseldorf Altbier,Redwood Curtain Brewing Co.,Arcata,CA,Alt Bier,Devils Backbone Brewing,Roseland,VA
2012,41,33,Bock,Butt Head Bock,Tommyknocker Brewery,Idaho Springs,CO,Elixer Maibock,Mad Fox Brewing Co.,Falls Church,VA,Turbo Cougar,Devils Backbone Brewing,Lexington,VA
2007,2,19,American-Style Wheat Beer,Pyramid Crystal Weizen,Pyramid Breweries,Seattle,OR,Brewmaster Reserve,Widmer Brothers Brewing,Portland,OR,Honey Weiss,Diamond Bear Brewing Co.,Little Rock,AR
2004,37,74,American-Style Pale Ale,Duckdive Pale Ale,Bill's Tavern & Brewhouse,Cannon Beach,OR,New River Pale Ale,New River Brewing,Atlanta,GA,Dillon DAM Extra Pale Ale,Dillon DAM Brewery,Dillon,CO
2014,88,32,Old Ale or Strong Ale,Arctic Alchemy,Fegley’s Brew Works,Allentown,PA,Old Scrooge,Silver City Brewery,Bremerton,WA,Good Faith,Discretion Brewing,Soquel,CA
2012,72,86,Belgian-Style Abbey Ale,Green Flash Trippel,Green Flash Brewing Co.,San Diego,CA,Sanitarium,Bier Brewery,Indianapolis,IN,ABT 12,Dock Street Brewery,Philadelphia,PA
1986,,NULL,Consumer Preference Poll,Samuel Adams Boston Lager ,Boston Beer Co.,,,Festival Ale ,Boulder Brewing Co,,,Dock Street Amber Ale ,Dock Street Brewery,,
2009,70,19,Classic Irish-Style Dry Stout,Dark Starr Stout,Starr Hill Brewing,Crozet,VA,Three Steve Stout,Cambridge Brewing,Torrington,CT,Pub Dog Black Dog Stout,DOG Brewing Co.,Westminster,MD
2011,11,32,Specialty Honey Beer,Sixteen,Weyerbacher Brewing Co.,Easton,PA,Eye of the Storm,Minneapolis Town Hall Brewery,Minneapolis,MN,Midas Touch,Dogfi sh Head Craft Brewery,Milton,DE
2009,9,36,Specialty Honey Beer,Countdown Honey Brown,Thunder Canyon Brewery,Tucson,AZ,George’s Fault,Nodding Head Brewing,Philadelphia,PA,Midas Touch,Dogfish Head Brewery,Milton,DE
2008,7,21,Specialty Beer,Red & White,Dogfish Head Brewery,Milton,DE,Hazelnut Brown Nectar,Rogue Ales,Portland,OR,Palo Santo Marron,Dogfish Head Brewery,Milton,DE
2006,13,28,Aged Beer,Triple Exultation 2004,Eel River Brewing,Fortuna,CA,Hibernation Ale 2005,Great Divide Brewing,Denver,CO,World Wide Stout 2003,Dogfish Head Brewery,Milton,DE
2006,55,24,Belgian-Style Sour Ale,La Folie,New Belgium Brewing,Fort Collins,CO,Beatification,Russian River Brewing,Santa Rosa,CA,Festina Lente,Dogfish Head Brewery,Milton,DE
2000,41,30,German-Style Brown Ale / Dusseldorf-Style Altbier,Boca Alt,Brewzzi,Boca Raton,FL,Alt Who Goes There?,General Lafayette Inn & Brewery,Lafayette Hill,PA,Dornbusch Alt,Dornbusch Brewing Co.,Ipswich,MA
2011,75,24,Classic Irish-Style Dry Stout,Ring of Dingle,Sun King Brewery,Indianapolis,IN,Breakside Dry Stout,Breakside Brewery,Portland,OR,Shaft House Stout,Dostal Alley BrewPub,Central City,CO
2011,8,60,Coffee Beer,Java Mac,Sun King Brewery,Indianapolis,IN,Coffee Monster,Pizza Port,Carlsbad,CA,Coffee Milk Stout,Dry Dock Brewing,Aurora,CO
2012,56,31,English-Style Mild Ale,Bristlecone,Uinta Brewing,Salt Lake City,UT,Breakside Session Brown,Breakside Brewery,Portland,OR,S.S. Minnow Mild Ale,Dry Dock Brewing,Aurora,CO
2015,33,100,German-Style Pilsener,Pivo,Firestone Walker,Paso Robles,CA,Pilsner,pFriem Family Brewers,Hood River,OR,Pilsner,Dry Dock Brewing,Aurora,CO
2015,3,87,American-Style Fruit Beer,Chchchch-Cherry Bomb,Melvin Brewing,Jackson,WY,Rasplendent,Mazama Brewing Co.,Corvallis,OR,Apricot Blonde,Dry Dock Brewing,Aurora,CO
2014,3,56,American-Style Fruit Beer,Raspberry Stout,Hardywood Park Craft Brewery,Richmond,VA,Sleepyhead Passion Fruit,Coda Brewing Co.,Aurora,CO,Apricot,Dry Dock Brewing,Aurora,CO
2013,48,31,English-Style India Pale Ale,Taproom IPA,Firestone Walker,Paso Robles,CA,Silverspot IPA,Pelican Brewing Co.,Pacifi c City,OR,Enterprise IPA,Dry Dock Brewing,Aurora,CO
2014,58,40,English-Style Mild Ale,Workman’s Compensation,Lion Bridge Brewing Co.,Cedar Rapids,IA,Mamoot Mild Ale,Logboat Brewing Co.,Columbia,MO,S.S. Minnow Mild Ale,Dry Dock Brewing,Aurora,CO
2015,47,35,Baltic-Style Porter,Cobaltic Porter,Bottle Logic Brewing,Anaheim,CA,Double Porter,Bemidji Brewing Co.,Bemidji,MN,Duck-Rabbit Baltic Porter,Duck-Rabbit Craft Brewery,Farmville,NC
2015,40,65,German-Style Märzen,Oktoberfest,Rahr & Sons Brewing,Fort Worth,TX,Antonius 1742 Oktoberfest,Thr3e Wise Men Brewing Co.,Indianapolis,IN,Duck-Rabbit Märzen,Duck-Rabbit Craft Brewery,Farmville,NC
2014,9,44,Chocolate Beer,Chocolatized,Pisgah Brewing Co.,Black Mountain,NC,Death By Coconut,Oskar Blues,Longmont,CO,Sweet Baby Jesus!,DuClaw Brewing Co.,Rosedale,MD
2005,67,30,Old Ale or Strong Ale,Nemesis,Big Time Brewery,Seattle,WA,Triple Exultation,Eel River Brewing,Fortuna,CA,Shorty's Revenge,E.J. Phair Brewing Co.,Concord,CA
2013,64,32,German-Style Altbier,Tree Hugger,Terrapin Beer,Athens,GA,Brewers Cut Altbier,Real Ale Brewing Co.,Blanco,TX,Echo Amber,Echo Brewing Co.,Frederick,CO
2012,60,48,Irish-Style Red Ale,Irish Red,Glenwood Canyon Brewing,Glenwood Springs,CO,TAPS Irish Red,TAPS Fish House & Brewery,Brea,CA,Balefi re Red,Echo Brewing Co.,Frederick,CO
2011,24,36,Aged Beer,Expedition Stout,Bell’s Brewery,Galesburg,MI,Release the Hounds,Bull & Bush Brewery,Denver,CO,2004 Triple Exultation,Eel River Brewing,Fortuna,CA
2014,24,64,Wood- and Barrel-Aged Beer,Bourbon Barrel Drafty Kilt,Monday Night Brewing,Atlanta,GA,Private Stock #472,Bastone Brewery,Royal Oak,MI,Reintarnation,Ei8ht Ball Brewing,Newport,KY
2003,34,9,English-Style Summer Ale,Chasing Tail Ale,Squatters,Salt Lake City,UT,Avalon Blonde,Angelic Brewing,Madison,WI,El Toro Oro Golden Ale,El Toro Brewing Co.,Morgan Hill,CA
2007,32,12,American-Style Dark Lager,Roadrunner Red Lager,Thunder Canyon Brewery,Tucson,AZ,Henry Weinhard’s Classic Dark,Miller Brewing,Milwaukee,WI,Elevator Dark Horse,Elevator Brewing,Columbus,OH
2015,1,58,American-Style Wheat Beer,Super 77 Wheat,Wiley Roots Brewing Co.,Greeley,CO,Whacked Out Wheat,Telluride Brewing Co.,Telluride,CO,Mogabi,Elevator Brewing,Columbus,OH
2004,49,26,German-Style Brown Ale/Düsseldorf-Style Altbier,Alt,Widmer Brothers Brewing,Portland,OR,Four Alarm Alt,Pumphouse Brewery,Longmont,CO,Otis Alt,Elk Grove Brewery,Elk Grove,CA
2008,55,47,American-Style Brown Ale,Kick-Ass Brown,C. H. Evans Brewing,Albany,NY,Bitch Creek ESB,Grand Teton Brewing,Victor,ID,Bad Dog Brown Ale,Elk Grove Brewery,Elk Grove,CA
2001,34,71,American-Style Amber / Red Ale,Calico Copper Ale,Ballast Point Brewing,San Diego,CA,Hoppus Maximus,Thirsty Dog Brewing,N. Canton,OH,Woody's Hophead Red,Elk Grove Brewery,Elk Grove,CA
2003,37,43,American-Style Strong Pale Ale,IPA Nectar,Nectar Ales,Paso Robles,CA,Decade,Big Time Brewery,Seattle,WA,Demolition Ale,Elliott Bay Brewing,Seattle,WA
2003,55,27,Belgian-Style Strong Specialty Ale,Cuvee de Tomme,Pizza Port,Solana Beach,CA,Temptation,Russian River Brewing,Santa Rosa,CA,Bete Blanche,Elysian Brewery,Seattle,WA
2005,6,57,Herb and Spice Beer,Temptation Bock,Miller Brewing,Milwaukee,WI,Jack Whacker Wheat,Tommyknocker Brewery,Idaho Springs,CO,Avatar Jasmine IPA,Elysian Brewery,Seattle,WA
2013,57,37,Ordinary or Special Bitter,Sawtooth Ale,Left Hand Brewing Co.,Longmont,CO,HMS Victory Amber,Dry Dock Brewing,Aurora,CO,Men’s Room Original Red,Elysian Brewery,Seattle,WA
2007,46,66,American-Style Amber/Red Ale,Stone Levitation Ale,Stone Brewing,Escondido,CA,Hop Head Red,Green Flash Brewing Co.,Vista,CA,McCarthy Red,Emmett’s Tavern & Brewing Co.,West Dundee,IL
2001,29,42,German-Style Kölsch / Köln-Style Kölsch,Pete's Wicked Helles Lager,Pete's Brewing,San Antonio,TX,Capitol Kolsch,Capitol City Brewing,Arlington,VA,Skinny Atlas Light,Empire Brewing Co. of Rochester,Rochester,NY
2002,44,38,Belgian- & French-Style Ale,Allagash White,Allagash Brewing Co.,Portland,ME,Artisan Saison,Rocky River Brewing,Rocky River,OH,Spring Saison,Engine House #9 Restaurant & Brewery,Tacoma,WA
2012,6,114,Herb and Spice Beer,Sweet Heat,Burnside Brewing Co.,Portland,OR,CBC Heather Ale,Cambridge Brewing,Cambridge,MA,Utah Sage Saison,Epic Brewing Co.,Salt Lake City,UT
2011,52,102,Imperial India Pale Ale,Citra Double IPA,Kern River Brewing,Kernville,CA,Double Jack,Firestone Walker,Paso Robles,CA,Imperial IPA,Epic Brewing Co.,Salt Lake City,UT
2010,75,39,Oatmeal Stout,Backside Stout,Steamworks Brewing,Durango,CO,Naked Oatmeal Stout,Rock Bottom,Louisville,CO,825 State Stout,Epic Brewing Co.,Salt Lake City,UT
2010,56,46,English-Style Brown Ale,Old Elk Brown Ale,Rock Bottom,Louisville,CO,Good Grief Brown,Pizza Port,Carlsbad,CA,Eclipse Brown Ale,Equinox Brewing,Fort Collins,CO
2008,52,24,Scottish-Style Ale,Highland Courage,Rock Bottom,Bethesda,MD,Dells Chief Amber Ale,Dells Brewing Co.,Wisconsin Dells,WI,Railbender Ale,Erie Brewing,Erie,PA
2011,3,56,Fruit Beer,Raspberry Tart,New Glarus Brewing,New Glarus,WI,Brainless on Peaches,Epic Brewing Co.,Salt Lake City,UT,Derailed Black Cherry Ale,Erie Brewing,Erie,PA
2005,43,25,Imperial or Double Red Ale,Shark Attack,Pizza Port,Solana Beach,CA,Tongue Buckler,Ballast Point Brewing,San Diego,CA,Imperial Red,Eugene City Brewery,Eugene,OR
2014,45,42,Baltic-Style Porter,Perkuno’s Hammer,EarthBread + Brewery,Philadelphia,PA,Black Eagle Baltic Porter,Black Tooth Brewing Co.,Sheridan,WY,Puddy Porter,Faction Brewing Co.,Alameda,CA
2005,59,54,Robust Porter,Black Sand Porter,Kona Brewing,Kailua-Kona,HI,Porter,Snipes Mountain Brewing,Sunnyside,WA,3 Threads Porter,Far West Brewing Co.,Redmond,WA
2015,30,45,Kellerbier or Zwickelbier,STS Pils,Russian River Brewing,Santa Rosa,CA,TAPS Kellerbier,TAPS Fish House & Brewery,Brea,CA,Fargo Original,Fargo Brewing Co.,Fargo,ND
2011,51,176,American-Style India Pale Ale,Elevated IPA,La Cumbre Brewing Co.,Albuquerque,NM,Deviant Dale’s,Oskar Blues,Longmont,CO,Head Hunter IPA,Fat Head’s Brewery,North Olmsted,OH
2009,5,85,Herb and Spice or Chocolate Beer,Stillwater Rye,Montana Brewing,Billings,MT,Imperial Chocolate Stout,Rogue Ales,Newport,OR,Rude Elf’s Reserve,Fegley’s Allentown & Bethlehem Brew Works,Allentown,PA
2011,82,35,Old Ale or Strong Ale,Papier,The Bruery,Placentia,CA,AleSmith Decadence ‘10 Old Ale,AleSmith Brewing,San Diego,CA,Arctic Alchemy,Fegley’s Brew Works,Allentown,PA
2014,66,80,German-Style Sour Ale,Reserve Wheat Ale,Telegraph Brewing Co.,Santa Barbara,CA,Old Pro Gose,Union Craft Brewing,Baltimore,MD,Berliner Weiss,Fegley’s Brew Works,Allentown,PA
2009,11,44,Other Strong Beer,Cardiff,Glenwood Canyon Brewing,Glenwood Springs,CO,Winter Wheatwine,Rubicon Brewing Co.,Sacramento,CA,FiftyFifty Imperial Stout,Fifty,Fifty Brewing Co.Truckee,CA
2011,13,53,Other Strong Beer,Wheat Wine Ale,Smuttynose Brewing,Portsmouth,NH,Saison du Summer,Backcountry Brewery,Frisco,CO,Totality Imperial Stout,FiftyFifty Brewing Co.,Truckee,CA
2008,11,32,Other Strong Beer,Derail Ale,Durango Brewing Co.,Durango,CO,Imperial Oatmeal Stout,Boundary Bay Brewery,Bellingham,WA,FiftyFifty Imperial Stout,FiftyFifty Brewing Co.,Truckee,CA
2015,14,52,Honey Beer,Electric Stinger,The Tap Beer Co.,Bloomington,IN,Honey Chamomile Wheat,Nexus Brewery,Albuquerque,NM,Spring Fever,FiftyFifty Brewing Co.,Truckee,CA
2012,2,29,American-Style Wheat Beer With Yeast,MBC Wheat Ale,Montana Brewing,Billings,MT,Tumblewheat,Altitude Chophouse and Brewery,Laramie,WY,Wrangler Wheat,Figueroa Mountain Brewing,Buellton,CA
2012,35,36,Vienna-Style Lager,Vienna Lager,Devils Backbone Brewing,Lexington,VA,Chuckanut Vienna Lager,Chuckanut Brewery,Bellingham,WA,Danish Red Lager,Figueroa Mountain Brewing,Buellton,CA
2012,80,45,Oatmeal Stout,Oats,Pizza Port,Solana Beach,CA,Stumbler’s Stout,Columbia River Brewing Co.,Portland,OR,Stagecoach Stout,Figueroa Mountain Brewing,Buellton,CA
2011,79,36,Oatmeal Stout,Back Road Stout,Millstream Brewing,Amana,IA,Oatmeal Stout,Crabtree Brewing Co.,Greeley,CO,Stagecoach Stout,Figueroa Mountain Brewing,Buellton,CA
2009,39,16,Baltic-Style Porter,Duck-Rabbit Baltic Porter,The Duck-Rabbit Craft Brewery,Farmville,NC,Danzig,Devil’s Backbone Brewing Co.,Roseland,VA,Veles Baltic Porter,Fire,House Grill & BrewerySunnyvale,CA
2010,15,47,American-Belgo-Style Ale,Ryevalry,Bear Republic Brewing,Cloverdale,CA,Simcoe Silly,Kuhnhenn Brewing Co.,Warren,MI,Pete’s Support Belgian IPA,FireHouse Grill & Brewery,Sunnyvale,CA
2015,28,137,Wood- and Barrel-Aged Sour Beer,Veritas 015,The Lost Abbey,San Marcos,CA,24 Frames Per Second,Our Mutual Friend Malt & Brew,Denver,CO,Sour Opal,Firestone Walker,Buellton,CA
2012,53,128,Imperial India Pale Ale,2 X 4,Thai Me Up Brewery,Jackson,WY,Café Racer 15,Bear Republic Brewing,Healdsburg,CA,Double Jack,Firestone Walker,Paso Robles,CA
2009,46,70,American-Style Strong Pale Ale,Racer 5 IPA,Bear Republic Brewing,Cloverdale,CA,Hopshot IPA,Beaver St. Brewery,Flagstaff,AZ,IPA Nectar,Firestone Walker,Paso Robles,CA
2008,44,76,American-Style Pale Ale,Mission Street Pale,Firestone Walker,Paso Robles,CA,Drake’s 1500 Pale,Drake’s Brewing Co.,San Leandro,CA,Firestone Pale 31,Firestone Walker,Paso Robles,CA
2007,10,14,Other Low Strength Ale or Lager,Half Wit,BJ's Restaurant & Brewery,Reno/Chandler/Huntington Beach,NV/AZ/CA,Firestone Extra Pale,Firestone Walker,Paso Robles,CA,Firestone Lager (Mini-Hell),Firestone Walker,Paso Robles,CA
2011,12,44,Session Beer,Provo Girl Pilsner,Utah Brewers,Salt Lake City,UT,Twerp,Pizza Port,Carlsbad,CA,Firestone Walker Extra Pale Ale,Firestone Walker,Paso Robles,CA
2015,52,42,English-Style India Pale Ale,Shanghai’d IPA,Old Town Brewing,Portland,OR,Monumental IPA,Port City Brewing Co.,Alexandria,VA,Hammersmith IPA,Firestone Walker,Paso Robles,CA
2004,20,9,"American-Style ""Light"" Amber Lager",MoJo Lager,Starr Hill Brewing,Charlottesville,VA,Henry Weinhard Amber Light,Miller Brewing,Milwaukee,WI,Coastal Light Pale,Firestone Walker,Paso Robles,CA
2011,2,38,American-Style Wheat Beer With Yeast,Leavenworth Boulder Bend Dunkelweizen,Fish Brewing Co.,Olympia,WA,Tumblewheat,Altitude Chophouse and Brewery,Laramie,WY,Leavenworth Whistling Pig Hefeweizen,Fish Brewing Co.,Olympia,WA
2015,2,41,American-Style Wheat Beer With Yeast,The Big O,O’so Brewing,Plover,WI,WeldWerks Hefeweizen,WeldWerks Brewing Co.,Greeley,CO,Boulder Bend Dunkelweizen,Fish Brewing Co.,Olympia,WA
2012,19,34,American-Style Sour Ale,Barrel SelectGold,Captain Lawrence Brewing,Elmsford,NY,Red Poppy,The Lost Abbey,San Marcos,CA,Fitger’s Framboise,Fitger’s Brewhouse,Duluth,MN
2004,53,21,French- and Belgian-Style Saison,Cave Aged Hennepin,Brewery Ommegang,Cooperstown,NY,Saison de Carbs,Rio Salado Brewing Company,Tempe,AZ,Farm House Reserve,Fitgers Brewhouse,Duluth,MN
2001,2,29,American-Style Lager / Ale or Cream Ale,Taps Cream Ale,Taps Fish House and Brewery,Brea,CA,Holy Cow's Cream Ale,Holy Cow! Casino Café & Brewery,Las Vegas,NV,Iowa City Light,Fitzpatrick's,Iowa City,IA
2013,18,81,American-Belgo-Style Ale,BrickStone Belgo-APA,BrickStone Brewery,Bourbonnais,IL,Belgo Hoptologist,Knee Deep Brewing Co.,Lincoln,CA,Little Green,Flat Tail Brewing Co.,Corvallis,OR
2011,36,58,American-Style Amber Lager,Uberbrau,Humperdinks Big Horn Brewing,Dallas,TX,Colorado Native,AC Golden Brewing Co.,Golden,CO,Florida Beer Florida Lager,Florida Beer Co.,Melbourne,FL
2012,47,29,Classic English-Style Pale Ale,Royal Scandal,Peticolas Brewing Co.,Dallas,TX,Gayle Force Pale Ale,Wind River Brewing Co.,Pinedale,WY,Hurricane Reef Pale Ale,Florida Beer Co.,Melbourne,FL
2010,69,33,Brown Porter,Total Disorder Porter,Ram Production Brewery,Tacoma,WA,St. Charles Porter,Blackstone Brewing,Nashville,TN,Pullman Brown,Flossmoor Station,Flossmoor,IL
2001,9,27,Specialty Honey Beer,Countdown Honey Brown,Thunder Canyon Brewery,Tucson,AZ,Jarre Creek Ranch Brewery Honey Brown Ale,Jarre Creek Ranch Brewery,Castle Rock,CO,Honey Rye Dopplebock,Flossmoor Station,Flossmoor,IL
2005,5,51,Fruit and Vegetable Beer,Belgian Red,New Glarus Brewing,New Glarus,WI,9th Street Market Tuscan Orange,Anheuser-Busch,St. Louis,MO,De Zuidentrein Frambozenbier,Flossmoor Station,Flossmoor,IL
2005,10,22,Specialty Honey Beer,George's Fault,Nodding Head Brewing,Philadelphia,PA,Midas Touch Golden Elixir,Dogfish Head Brewery,Milton,DE,Ella's Epidur-Ale,Flossmoor Station,Flossmoor,IL
2006,12,58,Wood- and Barrel-Aged Strong Beer,Bourbon Cherry Stout,Central Waters Brewing Co.,Junction City,WI,Full Sail Black Gold Imperial Stout,Full Sail Brewing,Portland,OR,Wooden Hell,Flossmoor Station,Flossmoor,IL
2005,8,20,Specialty Beer,Wild Rice Ale,Black Diamond Brewing Co.,Concord,CA,Neptune's Nemesis,Rocky River Brewing,Rocky River,OH,Pullman Brown Ale,Flossmoor Station,Flossmoor,IL
2000,8,28,Specialty Beer,Aztec Amaranth Ale,Bulldog Brewing Co.,Fresno,CA,Captain Smith's Rye,Titanic Brewing,Coral Gables,FL,Pullman Brown Ale,Flossmoor Station,Flossmoor,IL
2002,11,26,Wood- and Barrel-Aged Beer,Terminal Bourbon Stout,Rock Bottom,Chicago,IL,Dragon's Milk,New Holland Brewing,Holland,MI,Old Conundrum Barley Wine J.D.,Flossmoor Station,Flossmoor,IL
2007,73,32,Other Strong Ale or Lager,Derail Ale,Durango Brewing Co.,Durango,CO,Dragonstooth Stout,Elysian Brewery,Seattle,WA,Bottleworks VIII,Flyers Restaurant and Brewery,Oak Harbor,WA
2008,66,47,Robust Porter,Nolan’s Porter,Barrio Brewing Co.,Tucson,AZ,Sweet Sanderine Porter,Il Vicino Brewing,Albuquerque,NM,Pacemaker Porter,Flyers Restaurant and Brewery,Oak Harbor,WA
2007,30,44,American-Style Amber Lager,Steam Engine Lager,Steamworks Brewing,Durango/Bayfield,CO,Toasted Lager,Blue Point Brewing Co.,Patchogue,NY,Old Scratch Amber Lager,Flying Dog Brewery,Denver,CO
2013,36,51,German-Style Märzen,Rhinofest,Lost Rhino Brewing Co.,Ashburn,VA,Octoberfest,Great American Restaurants,Centreville,VA,Dogtoberfest,Flying Dog Brewery,Frederick,MD
2005,26,50,German-Style Märzen / Oktoberfest,Michelob Marzen,Anheuser-Busch,St. Louis,MO,Sudwerk Marzen,Sudwerk Privatbrauerei Hübsch,Davis,CA,Dogtoberfest Octoberfest,Flying Dog Brewery,Denver,CO
2006,50,50,South German-Style Hefeweizen,Mueller Hefeweizen,Springfield Brewing,Springfield,MO,Wapiti Wheat,Wolf Pack Brewing,West Yellowstone,MT,In-Heat Wheat Hefeweizen,Flying Dog Brewery,Denver,CO
2012,9,35,Specialty Beer,Hazelnut Brown Nectar,Rogue Brewery,Newport,OR,Alaskan Birch Bock,Alaskan Brewing,Juneau,AK,Exit 8,Flying Fish Brewing Co.,Somerdale,NJ
2015,63,67,Extra Special Bitter,The Guilty Party,Gibb’s Hundred Brewing Co.,Greensboro,NC,14° ESB,Bent Paddle Brewing Co.,Duluth,MN,Red Fish,Flying Fish Brewing Co.,Somerdale,NJ
2009,43,33,Classic English-Style Pale Ale,Mactarnahan’s Amber,Pyramid Breweries,Seattle,WA,Mirror Pond Pale Ale,Deschutes Brewery,Bend,OR,Hopfish,Flying Fish Brewing Co.,Cherry Hill,NJ
2010,33,39,American-Style Amber Lager,Manana,Del Norte Brewing Co.,Denver,CO,Schell’s Oktoberfest,August Schell Brewing,New Ulm,MN,Foothills Oktoberfest,Foothills Brewing,Winston-Salem,NC
2009,75,56,Imperial Stout,Gonzo Imperial Porter,Flying Dog Brewery,Frederick,MD,Yeti Imperial Stout,Great Divide Brewing,Denver,CO,Sexual Chocolate Imperial Stout,Foothills Brewing,Winston-Salem,NC
2014,16,79,Experimental Beer,Key Lime Pie,Short’s Brewing Co.,Elk Rapids,MI,Redrock Paardebloem,Redrock Brewery,Salt Lake City,UT,Black Project #1,Former Future Brewing Co.,Denver,CO
2011,50,103,American-Style Strong Pale Ale,Pako’s Eye P.A.,Snake River Brewing,Jackson,WY,AleSmith IPA,AleSmith Brewing,San Diego,CA,Hop Knot,Four Peaks Brewing,Tempe,AZ
2006,38,66,American-Style Strong Pale Ale,Big Fish,BJ's Restaurant & Brewery,Chandler,AZ,Racer,Bear Republic Brewing,Healdsburg,CA,Hop Knot,Four Peaks Brewing,Tempe,AZ
2003,43,26,Scottish-Style Ale,Pete's Wicked Ale,Pete's Brewing,San Antonio,TX,60 Shilling,Nodding Head Brewing,Philadelphia,PA,Kiltlifter,Four Peaks Brewing,Tempe,AZ
1999,36,37,Scottish-Style Ale,,,,,Tilted Kilt,Pyramid Breweries,Seattle,WA,Kilt Lifter Scottish Amber,Four Peaks Brewing,Tempe,AZ
2002,53,26,Oatmeal Stout,Sinner's Stout,Angelic Brewing,Madison,WI,Black Seal Stout,Rock Bottom,Long Beach,CA,Wild Goose Oatmeal Stout,Frederick Brewing Company,Frederick,MD
2007,51,25,Irish-Style Red Ale,Red Rocks Red,Rock Bottom,Westminster,CO,Crimson Phog,23rd Street Brewery,Lawrence,KS,Enchanted Rock Red Ale,Fredericksburg Brewing,Fredericksburg,TX
2012,78,43,American-Style Stout,Order in the Port,Pizza Port,San Clemente,CA,American Stout,10 Barrel Brewing Co.,Bend,OR,Ironman,Free State Brewing Co.,Lawrence,KS
2003,65,40,Barley Wine-Style Ale,Auld Gnarley Head Barleywine,Wild Duck Brewery & Restaurant,Eugene,OR,Alaskan Barley Wine,Alaskan Brewing,Juneau,AK,Old Backus Barleywine,Free State Brewing Co.,Lawrence,KS
2007,49,38,Extra Special Bitter or Strong Bitter,The Wise ESB,Elysian Brewery,Seattle,WA,O’Brien’s Harvest,Hale's Ales,Seattle,WA,Big Sea ESB,Free State Brewing Co.,Lawrence,KS
