year,cat_num,entries,cat_name,gold_beer,gold_brewery,gold_city,gold_state,silver_beer,silver_brewery,silver_city,silver_state,bronze_beer,bronze_brewery,bronze_city,bronze_state
2015,53,75,International-Style Pale Ale,Mai Tai P.A.,Alvarado Street Brewery & Grill,Monterey,CA,Rain Delay IPA,JAFB Wooster Brewery,Wooster,OH,San Diego-Style IPA,Karl Strauss Brewing Co. - La Jolla,La Jolla,CA
2015,54,160,American-Style Pale Ale,Monterey St. Pale Ale,Central Coast Brewing Co.,San Luis Obispo,CA,Hoppy Palm,Track 7 Brewing Co. - Natomas,Sacramento,CA,Featherweight Pale Ale,Cannonball Creek Brewing Co.,Golden,CO
2015,55,134,American-Style Strong Pale Ale,Ratchet Strap IPA,Barley Brown’s Beer,Baker City,OR,Via Chicago,CODA Brewing Co.,Aurora,CO,3C India Pale Ale,Triple C Brewing,Charlotte,NC
2015,56,336,American-Style India Pale Ale,Revolver IPA,BNS Brewing & Distilling Co.,Santee,CA,Pernicious IPA,Wicked Weed Brewing - Candler,Candler,NC,White Rajah,The Brew Kettle Taproom and Smokehouse,Strongsville,OH
2015,57,208,Imperial India Pale Ale,Hop JuJu Imperial IPA,Fat Head’s Brewery,Middleburg Heights,OH,Eazy Duz It IIPA,Laurelwood Public House and Brewery,Portland,OR,Teahupo’o,Breakwater Brewing Co.,Oceanside,CA
2015,58,94,American-Style Amber/Red Ale,Immersion Amber Ale,Two Beers Brewing Co.,Seattle,WA,Proletariat Red,Lompoc Brewing - The 5th Quadrant,Portland,OR,Sharkbite Red,Pizza Port Bressi Ranch,Carlsbad,CA
2015,59,71,Double Red Ale,Bone Head Imperial Red,Fat Head’s Brewery,Middleburg Heights,OH,Toaster Pastry,21st Amendment Brewery,San Leandro,CA,GRAMBO,Pizza Port Solana Beach,Solana Beach,CA
2015,60,35,Imperial Red Ale,reDANKulous,Founders Brewing Co.,Grand Rapids,MI,Wreak Havoc,Bootstrap Brewing Co.,Niwot,CO,Imperial Red Ale,Marble Brewery,Albuquerque,NM
2015,61,40,English-Style Mild Ale,Mild,Brothers Craft Brewing,Harrisonburg,VA,Summer Porter,Fort Point Beer Co.,San Francisco,CA,Mamoot,Logboat Brewing Co.,Columbia,MO
2015,62,43,Ordinary or Special Bitter,DBA (Double Barrel Ale),Firestone Walker Brewing Co.,Paso Robles,CA,Spitfire Best Bitter,Flyers Restaurant and Brewery,Oak Harbor,WA,Sawtooth Ale,Left Hand Brewing Co.,Longmont,CO
