year,style,medal,beer,brewery,city,state
2008,Sweet Stout,gold,Cream Stout,Redwood Brewing,Flint,MI
2008,Sweet Stout,silver,Milk Stout,Left Hand Brewing Co.,Longmont,CO
2008,Sweet Stout,bronze,Cow Stout,Pizza Port,Carlsbad,CA
2008,Brown Porter,gold,BlackWatch Cream Porter,Pyramid Breweries,Seattle,WA
2008,Brown Porter,silver,FireHouse Porter,FireHouse Grill & Brewery,Sunnyvale,CA
2008,Brown Porter,bronze,Prospector Porter,Tommyknocker Brewery,Idaho Springs,CO
2008,Classic English-Style Pale Ale,gold,Full Sail Pale Ale,Full Sail Brewing,Hood River,OR
2008,Classic English-Style Pale Ale,silver,Clipper City Pale Ale,Clipper City Brewing,Baltimore,MD
2008,Classic English-Style Pale Ale,bronze,Summit Extra Pale Ale,Summit Brewing,Saint Paul,MN
2008,Belgian-Style Abbey Ale,gold,Bishop’s Tipple Trippel,Main Street Brewery,Corona,CA
2008,Belgian-Style Abbey Ale,silver,Abbey Dubbel,Flying Fish Brewing Co.,Cherry Hill,NJ
2008,Belgian-Style Abbey Ale,bronze,6th Glass,Boulevard Brewing,Kansas City,MO
2008,Oatmeal Stout,gold,Oatmeal Stout,Gella's Diner,Hays,KS
2008,Oatmeal Stout,silver,Velvet Merkin,Firestone Walker,Paso Robles,CA
2008,Oatmeal Stout,bronze,Oatmeal Stout,Schooner’s Grille & Brewery,Antioch,CA
2008,American-Style Hefeweizen,gold,Henry Weinhard’s Hefeweizen,MillerCoors,Milwaukee,WI
2008,American-Style Hefeweizen,silver,Hefeweizen,Widmer Brothers Brewing,Portland,OR
2008,American-Style Hefeweizen,bronze,Whitetail Wheat,Montana Brewing,Billings,MT
2008,Bohemian-Style Pilsener,gold,Pleasantville Pils,Durango Brewing Co.,Durango,CO
2008,Bohemian-Style Pilsener,silver,Pallavicini Pilsner,Pug Ryans Brewery,Dillon,CO
2008,Bohemian-Style Pilsener,bronze,Double Aught,Bear Republic Brewing,Healdsburg,CA
2008,Belgian- and French-Style Ale,gold,Redemption,Russian River Brewing,Santa Rosa,CA
2008,Belgian- and French-Style Ale,silver,Pride,Midnight Sun Brewing Co.,Anchorage,AK
2008,Belgian- and French-Style Ale,bronze,Rare Vos,Brewery Ommegang,Cooperstown,NY
2008,Baltic-Style Porter,gold,Kick in the Baltic Porter,Bluegrass Brewing Co.,Louisville,KY
2008,Baltic-Style Porter,silver,Killer Kowalski,Flossmoor Station,Flossmoor,IL
2008,Baltic-Style Porter,bronze,SMP,Sixpoint Craft Ales,Brooklyn,NY
2008,International-Style Pilsener,gold,Session Premium Lager,Full Sail Brewing,Hood River,OR
2008,International-Style Pilsener,silver,Yep Still Boneheads,The SandLot,Denver,CO
2008,International-Style Pilsener,bronze,OE 800,MillerCoors,Milwaukee,WI
2008,American-Style Lager or Premium Lager,gold,Olympia,Pabst Brewing,Woodridge,IL
2008,American-Style Lager or Premium Lager,silver,Blatz,Pabst Brewing,Woodridge,IL
2008,American-Style Lager or Premium Lager,bronze,Henry Weinhard’s Private Reserve,MillerCoors,Milwaukee,WI
2008,America-Style Light Lager,gold,Coors Light,MillerCoors,Milwaukee,WI
2008,America-Style Light Lager,silver,Old Milwaukee Light,Pabst Brewing,Woodridge,IL
2008,America-Style Light Lager,bronze,Keystone Light,MillerCoors,Milwaukee,WI
2008,Herb and Spice or Chocolate Beer,gold,Russian Roulette,Minneapolis Town Hall Brewery,Minneapolis,MN
2008,Herb and Spice or Chocolate Beer,silver,Pangaea,Dogfish Head Brewery,Milton,DE
2008,Herb and Spice or Chocolate Beer,bronze,State Beach Blonde,Pizza Port,Carlsbad,CA
2008,German-Style Altbier,gold,The Detroit Dwarf,The Detroit Beer Co.,Detroit,MI
2008,German-Style Altbier,silver,Railyard Ale,Titletown Brewing Co.,Green Bay,WI
2008,German-Style Altbier,bronze,All The Way Alt,Desert Edge Brewery,Salt Lake City,UT
2008,Imperial Stout,gold,BORIS The Crusher Oatmeal-Imperial Stout,Hoppin’ Frog Brewing Co.,Akron,OH
2008,Imperial Stout,silver,Night Rider Imperial Stout,Pizza Port,Carlsbad,CA
2008,Imperial Stout,bronze,Yeti Imperial Stout,Great Divide Brewing,Denver,CO
2008,English-Style Summer Ale,gold,Surfer’s Summer Ale,Pelican Pub,Pacific City,OR
2008,English-Style Summer Ale,silver,Montgomery Blonde,Montgomery Brewing Co.,Montgomery,AL
2008,English-Style Summer Ale,bronze,312 ‘Urban Wheat Ale’,Goose Island Beer Co.,Chicago,IL
2008,Scottish-Style Ale,gold,Highland Courage,Rock Bottom,Bethesda,MD
2008,Scottish-Style Ale,silver,Dells Chief Amber Ale,Dells Brewing Co.,Wisconsin Dells,WI
2008,Scottish-Style Ale,bronze,Railbender Ale,Erie Brewing,Erie,PA
2008,Belgian-Style Witbier,gold,Mothership Wit/Organic Wheat Beer,New Belgium Brewing,Fort Collins,CO
2008,Belgian-Style Witbier,silver,Belgian Wit,Redrock Brewery,Salt Lake City,UT
2008,Belgian-Style Witbier,bronze,Squatters Wit,Utah Brewers,Salt Lake City,UT
2008,American-Style Wheat Beer,gold,Pyramid Crystal Wheat Ale,Pyramid Breweries,Seattle,WA
2008,American-Style Wheat Beer,silver,Spanish Peak Crystal Weiss,Spanish Peaks Brewing,Stamford,CT
2008,American-Style Wheat Beer,bronze,American Wheat,Gella's Diner,Hays,KS
2008,American-Style Strong Pale Ale,gold,Hop Bomb,Rock Bottom,Louisville,CO
2008,American-Style Strong Pale Ale,silver,Nectar Pale,Firestone Walker,Paso Robles,CA
2008,American-Style Strong Pale Ale,bronze,Organic IPA,Hopworks Urban Brewery,Portland,OR
2008,Bitter or Pale Mild Ale,gold,Drop Top,Widmer Brothers Brewing,Portland,OR
2008,Bitter or Pale Mild Ale,silver,Hopsmith Pale Ale,Bull & Bush Brewery,Denver,CO
2008,Bitter or Pale Mild Ale,bronze,Sawtooth Ale,Left Hand Brewing Co.,Longmont,CO
2008,Specialty Beer,gold,Red & White,Dogfish Head Brewery,Milton,DE
2008,Specialty Beer,silver,Hazelnut Brown Nectar,Rogue Ales,Portland,OR
2008,Specialty Beer,bronze,Palo Santo Marron,Dogfish Head Brewery,Milton,DE
2008,Extra Special Bitter or Strong Bitter,gold,Bachelor ESB,Deschutes Brewery,Bend,OR
2008,Extra Special Bitter or Strong Bitter,silver,Sweetwater Motorboat ESB,Sweetwater Brewing,Atlanta,GA
2008,Extra Special Bitter or Strong Bitter,bronze,Standing Wave Pale Ale,Kannah Creek Brewing Co.,Grand Junction,CO
2008,American-Style Brown Ale,gold,Kick-Ass Brown,C. H. Evans Brewing,Albany,NY
2008,American-Style Brown Ale,silver,Bitch Creek ESB,Grand Teton Brewing,Victor,ID
2008,American-Style Brown Ale,bronze,Bad Dog Brown Ale,Elk Grove Brewery,Elk Grove,CA
2008,Robust Porter,gold,Nolan’s Porter,Barrio Brewing Co.,Tucson,AZ
2008,Robust Porter,silver,Sweet Sanderine Porter,Il Vicino Brewing,Albuquerque,NM
2008,Robust Porter,bronze,Pacemaker Porter,Flyers Restaurant and Brewery,Oak Harbor,WA
2008,English-Style India Pale Ale,gold,,,,
2008,English-Style India Pale Ale,silver,,,,
2008,English-Style India Pale Ale,bronze,Hop Daddy IPA,Main Street Brewery,Corona,CA
2008,Golden or Blonde Ale,gold,Steelhead Extra Pale Ale,Mad River Brewing Co.,Blue Lake,CA
2008,Golden or Blonde Ale,silver,Alaskan Summer Ale,Alaskan Brewing,Juneau,AK
2008,Golden or Blonde Ale,bronze,All Nighter,Chicago Brewing,Las Vegas,NV
2008,Belgian-Style Lambic or Sour Ale,gold,Lambic de Hill,Iron Hill Brewery,Wilmington,DE
2008,Belgian-Style Lambic or Sour Ale,silver,Upstream Gueuze-Lambic,Upstream Brewing,Omaha,NE
2008,Belgian-Style Lambic or Sour Ale,bronze,Cassis de Hill,Iron Hill Brewery,Wilmington,DE
2008,German-Style Schwarzbier,gold,B3K,Wynkoop Brewing,Denver,CO
2008,German-Style Schwarzbier,silver,Cherny Bock,Bohemian Brewery,Midvale,UT
2008,German-Style Schwarzbier,bronze,Black Noddy Lager,Buckbean Brewing Co.,Reno,NV
2008,Gluten-Free Beer,gold,Redbridge,Anheuser-Busch,St. Louis,MO
2008,Gluten-Free Beer,silver,New Grist,Lakefront Brewery,Milwaukee,WI
2008,Gluten-Free Beer,bronze,Chinquapin Butte Golden Ale,Deschutes Brewery,Bend,OR
2008,Foreign-Style Stout,gold,Whiteface Black Diamond Stout,Great Adirondack Brewing Co.,Lake Placid,NY
2008,Foreign-Style Stout,silver,Black Bear XX Stout,Alameda Brewhouse,Portland,OR
2008,Foreign-Style Stout,bronze,Black Hole XXX Stout,Chelsea Brewing,New York,NY
2008,Wood- and Barrel-Aged Strong Beer,gold,Bourbon Barrel Barleywine,Central Waters Brewing Co.,Amherst,WI
2008,Wood- and Barrel-Aged Strong Beer,silver,The Legend of the Liquid Brain Imperial Stout,Bull & Bush Brewery,Denver,CO
2008,Wood- and Barrel-Aged Strong Beer,bronze,Golden Delicious,Captain Lawrence Brewing,Pleasantville,NY
2008,Old Ale or Strong Ale,gold,AleSmith Decadence Old Ale,AleSmith Brewing,San Diego,CA
2008,Old Ale or Strong Ale,silver,Old Scrooge,Silver City Brewery,Silverdale,WA
2008,Old Ale or Strong Ale,bronze,Old Scratch Barley Wine ‘99,Great Dane Pub,Madison,WI
2008,German-Style Wheat Ale,gold,I’m Half the Beer I Used to Be,BJ's Restaurant & Brewery,Huntington Beach,CA
2008,German-Style Wheat Ale,silver,Dark-n-Curvy Dunkelweizen,Piece Brewery,Chicago,IL
2008,German-Style Wheat Ale,bronze,Wasatch Hefeweizen,Wasatch Brewery,Park City,UT
2008,French- and Belgian-Style Saison,gold,Saison,Iron Hill Brewery,Wilmington,DE
2008,French- and Belgian-Style Saison,silver,Saison,Nodding Head Brewing,Philadelphia,PA
2008,French- and Belgian-Style Saison,bronze,Luciernaga,Jolly Pumpkin Artisan Ales,Dexter,MI
2008,Other Strong Beer,gold,Derail Ale,Durango Brewing Co.,Durango,CO
2008,Other Strong Beer,silver,Imperial Oatmeal Stout,Boundary Bay Brewery,Bellingham,WA
2008,Other Strong Beer,bronze,FiftyFifty Imperial Stout,FiftyFifty Brewing Co.,Truckee,CA
2008,American-Style Stout,gold,Terminal Stout,Rock Bottom,Louisville,CO
2008,American-Style Stout,silver,Black Mocha Stout,Highland Brewing Co.,Asheville,NC
2008,American-Style Stout,bronze,Troegs Dead Reckoning,Troegs Brewery,Harrisburg,PA
2008,Wood- and Barrel-Aged Sour Beer,gold,Beekeeper,Bullfrog Brewery,Williamsport,PA
2008,Wood- and Barrel-Aged Sour Beer,silver,Cherry Dubbel,Iron Hill Brewery,Wilmington,DE
2008,Wood- and Barrel-Aged Sour Beer,bronze,Cascade Kriek Ale,Cascade Brewery,Portland,OR
2008,Vienna-Style Lager,gold,Vienna Red Lager,Iron Hill Brewery,Wilmington,DE
2008,Vienna-Style Lager,silver,Oaktoberfest,Firestone Walker,Paso Robles,CA
2008,Vienna-Style Lager,bronze,Clipper City MarzHon,Clipper City Brewing,Baltimore,MD
2008,Barley Wine-Style Ale,gold,Treblehook,Redhook Ale Brewery,Portland,OR
2008,Barley Wine-Style Ale,silver,AleSmith Old Numbskull,AleSmith Brewing,San Diego,CA
2008,Barley Wine-Style Ale,bronze,Scratch #4 “The Flying Mouflan”,Troegs Brewery,Harrisburg,PA
2008,Session Beer,gold,3.2 Unfiltered Wheat Beer,Boulevard Brewing,Kansas City,MO
2008,Session Beer,silver,USS Minnow Mild Ale,Dry Dock Brewing,Aurora,CO
2008,Session Beer,bronze,Blonde Bombshell,Cascade Lakes Brewing Co.,Redmond,OR
2008,Belgian-Style Strong Specialty Ale,gold,Darth Delirium,Moose’s Tooth Brewing Co.,Anchorage,AK
2008,Belgian-Style Strong Specialty Ale,silver,Brother David’s Double,Anderson Valley Brewing,Boonville,CA
2008,Belgian-Style Strong Specialty Ale,bronze,Golden Armor,CB & Potts Restaurant & Brewery,Highlands Ranch,CO
2008,German-Style Pilsener,gold,Kaiser Pilsner,Pennsylvania Brewing,Pittsburgh,PA
2008,German-Style Pilsener,silver,Party Pants Pilsener,Pizza Port,Carlsbad,CA
2008,German-Style Pilsener,bronze,Prima Pils,Victory Brewing Co.,Downingtown,PA
2008,Kellerbier or Zwickelbier,gold,Helles Keller,Fredericksburg Brewing,Fredericksburg,TX
2008,Kellerbier or Zwickelbier,silver,Hell In Keller,Uncle Billy’s Brew & Que,Austin,TX
2008,Kellerbier or Zwickelbier,bronze,Zwickel,Chama River Brewing,Albuquerque,NM
2008,American-Style Pale Ale,gold,Mission Street Pale,Firestone Walker,Paso Robles,CA
2008,American-Style Pale Ale,silver,Drake’s 1500 Pale,Drake’s Brewing Co.,San Leandro,CA
2008,American-Style Pale Ale,bronze,Firestone Pale 31,Firestone Walker,Paso Robles,CA
2009,English Style Brown Ale,gold,Longboard Brown,Rock Bottom,La Jolla,CA
2009,English Style Brown Ale,silver,Buster Nut Brown,Ska Brewing,Durango,CO
2009,English Style Brown Ale,bronze,Good Grief Brown,Pizza Port,Carlsbad,CA
2009,American-Style Brown Ale,gold,Dirty Helen Brown Ale,Barley Island Brewing Co.,Noblesville,IN
2009,American-Style Brown Ale,silver,Cheyenne Cañon Ale,Bristol Brewing,Colorado Springs,CO
2009,American-Style Brown Ale,bronze,Great American Brown,Pizza Port,Carlsbad,CA
2009,American-Style Wheat Beer With Yeast,gold,Haywire Hefeweizen,Pyramid Breweries,Seattle,WA
2009,American-Style Wheat Beer With Yeast,silver,Hefeweizen,Widmer Brothers Brewing,Portland,OR
2009,American-Style Wheat Beer With Yeast,bronze,UFO Hefeweizen,Harpoon Brewery,Boston,MA
2009,Wood- and Barrel-Aged Strong Beer,gold,Cereal Killer Barleywine,Arcadia Brewing Co.,Battle Creek,MI
2009,Wood- and Barrel-Aged Strong Beer,silver,Barrel Aged Gonzo,Flying Dog Brewery,Frederick,MD
2009,Wood- and Barrel-Aged Strong Beer,bronze,Duck-Rabbit Barrel Aged Baltic Porter,The Duck-Rabbit Craft Brewery,Farmville,NC
2009,Experimental Beer,gold,TPS Report,Trinity Brewing,Colorado Springs,CO
2009,Experimental Beer,silver,Bloody Beer,Shorts Brewing Co.,Bellaire,MI
2009,Experimental Beer,bronze,Brabant,Avery Brewing,Boulder,CO
2009,American-Style Amber/Red Ale,gold,Organic Rise Up Red,Hopworks Urban Brewery,Portland,OR
2009,American-Style Amber/Red Ale,silver,Red Rock,Triple Rock Brewery,Berkeley,CA
2009,American-Style Amber/Red Ale,bronze,Hop Head Red,Green Flash Brewing Co.,Vista,CA
2009,Belgian Style Strong Specialty Ale,gold,Revelations,Pizza Port,Carlsbad,CA
2009,Belgian Style Strong Specialty Ale,silver,“100”,The Covey Restaurant & Brewery,Fort Worth,TX
2009,Belgian Style Strong Specialty Ale,bronze,Father Damien Abbey Ale,Maui Brewing,Lahaina,HI
2009,Imperial India Pale Ale,gold,Organic Ace of Spades Imperial IPA,Hopworks Urban Brewery,Portland,OR
2009,Imperial India Pale Ale,silver,Denogginizer,Drake’s Brewing Co.,San Leandro,CA
2009,Imperial India Pale Ale,bronze,Hip Hop Double IPA,Hollister Brewing Co.,Goleta,CA
2009,Aged Beer,gold,Horn Dog Vintage 2007,Flying Dog Brewery,Frederick,MD
2009,Aged Beer,silver,St. Bob’s Imperial Stout,IL Vicino Brewing Co.,Albuquerque,NM
2009,Aged Beer,bronze,Winterfest 2008,Utah Brewers,Salt Lake City,UT
2009,Bock,gold,Troegenator,Troegs Brewery,Harrisburg,PA
2009,Bock,silver,May Bock,Backcountry Brewery,Frisco,CO
2009,Bock,bronze,Fornicator,Piece Brewery,Chicago,IL
2009,Classic Irish-Style Dry Stout,gold,Dark Starr Stout,Starr Hill Brewing,Crozet,VA
2009,Classic Irish-Style Dry Stout,silver,Three Steve Stout,Cambridge Brewing,Torrington,CT
2009,Classic Irish-Style Dry Stout,bronze,Pub Dog Black Dog Stout,DOG Brewing Co.,Westminster,MD
2009,Scotch Ale,gold,Reed’s Wee Heavy,Pizza Port,Carlsbad,CA
2009,Scotch Ale,silver,BagPiper’s Scotch Ale,Fegley’s Allentown & Bethlehem Brew Works,Allentown,PA
2009,Scotch Ale,bronze,MacPelican’s Wee Heavy Ale,Pelican Pub,Pacific City,OR
2009,Barley Wine Style Ale,gold,Old Inventory Barley Wine,Valley Brewing Co.,Stockton,CA
2009,Barley Wine Style Ale,silver,Treblehook,Redhook Ale Brewery,Woodinville,WA
2009,Barley Wine Style Ale,bronze,Old Ruffian Barley Wine,Great Divide Brewing,Denver,CO
2009,German Style Schwarzbier,gold,Schwarzbier,Iron Hill Brewery,Wilmington,DE
2009,German Style Schwarzbier,silver,Schwarzbier,Chuckanut Brewery,Bellingham,WA
2009,German Style Schwarzbier,bronze,Dark Helmet,Titletown Brewing Co.,Green Bay,WI
2009,German Style Kölsch,gold,Kolsch,Sierra Nevada Brewing,Chico,CA
2009,German Style Kölsch,silver,Clearwater Kolsch,RAM Restaurant & Brewery,Tacoma,WA
2009,German Style Kölsch,bronze,Stoudts Kolsch,Stoudt Brewery,Adamstown,PA
2009,Oatmeal Stout,gold,Ernest’s Silky Smoove,Pizza Port,San Clemente,CA
2009,Oatmeal Stout,silver,Oatmeal Stout,Schooner’s Grille & Brewery,Antioch,CA
2009,Oatmeal Stout,bronze,Sleeping Dog Stout,Chama River Brewing,Albuquerque,NM
2009,Session Beer,gold,KinderPils,Triumph Brewing,Philadelphia,PA
2009,Session Beer,silver,Firestone Xtra Pale,Firestone Walker,Paso Robles,CA
2009,Session Beer,bronze,Bam Biere,Jolly Pumpkin Artisan Ales,Dexter,MI
2009,Robust Porter,gold,Pt. Reyes Porter,Marin Brewing,Larkspur,CA
2009,Robust Porter,silver,Mocha Porter,Rogue Ales,Newport,OR
2009,Robust Porter,bronze,Pirate’s Porter,Sullivan’s Black Forest Brew Haus & Grill,Frankenmuth,MI
2009,Wood- and Barrel-Aged Sour Beer,gold,Bourbonic Plague,Cascade Brewery,Portland,OR
2009,Wood- and Barrel-Aged Sour Beer,silver,Vlad the Impaler,Cascade Brewery,Portland,OR
2009,Wood- and Barrel-Aged Sour Beer,bronze,Phruit Phunk,Nodding Head Brewing,Philadelphia,PA
2009,Vienna-Style Lager,gold,Vienna Lager,Chuckanut Brewery,Bellingham,WA
2009,Vienna-Style Lager,silver,Vienna Lager,Devil’s Backbone Brewing Co.,Roseland,VA
2009,Vienna-Style Lager,bronze,Clipper City Marzhon Vienna Lager,Clipper City Brewing,Baltimore,MD
2009,German-Style Wheat Ale,gold,Hefeweizen,Triumph Brewing,New Hope,PA
2009,German-Style Wheat Ale,silver,Weizenbock,The Covey Restaurant & Brewery,Fort Worth,TX
2009,German-Style Wheat Ale,bronze,Upslope Dunkel Weizen,Upslope Brewing Co.,Boulder,CO
2009,Belgian-Style Witbier,gold,ZON,Boulevard Brewing,Kansas City,MO
2009,Belgian-Style Witbier,silver,Belgian White,Big Dog’s Brewing Co.,Las Vegas,NV
2009,Belgian-Style Witbier,bronze,Wits End,Great American Restaurants,Centreville,VA
2009,Extra Special Bitter or Strong Bitter,gold,ESB,Redhook Ale Brewery,Woodinville,WA
2009,Extra Special Bitter or Strong Bitter,silver,Motorboat ESB,SweetWater Brewing Co.,Atlanta,GA
2009,Extra Special Bitter or Strong Bitter,bronze,Colorado Boy IPA,Colorado Boy Pub & Brewery,Ridgway,CO
2009,American-Style India Pale Ale,gold,Union Jack,Firestone Walker,Paso Robles,CA
2009,American-Style India Pale Ale,silver,Sculpin IPA,Ballast Point Brewing,San Diego,CA
2009,American-Style India Pale Ale,bronze,Blind Pig IPA,Russian River Brewing,Santa Rosa,CA
2009,Belgian-Style Lambic or Sour Ale,gold,Duck Duck Gooze,The Lost Abbey,San Marcos,CA
2009,Belgian-Style Lambic or Sour Ale,silver,Red Rock,Big Rock Chop House,Birmingham,MI
2009,Belgian-Style Lambic or Sour Ale,bronze,Supplication,Russian River Brewing,Santa Rosa,CA
2009,Belgian and French-Style Ale,gold,Carnevale,The Lost Abbey,San Marcos,CA
2009,Belgian and French-Style Ale,silver,Demolition,Goose Island Beer Co.,Chicago,IL
2009,Belgian and French-Style Ale,bronze,Collaborative Evil-Sacramento,Sacramento Brewing Co.,Sacramento,CA
2009,Belgian-Style Abbey Ale,gold,Signature Dubbel,Choc Beer Co.,Krebs,OK
2009,Belgian-Style Abbey Ale,silver,Tripel,Allagash Brewing Co.,Portland,ME
2009,Belgian-Style Abbey Ale,bronze,Deschutes Brewery Quad,Deschutes Brewery,Bend,OR
2009,Bohemian-Style Pilsener,gold,Vermont Lager,Otter Creek Brewing,Middlebury,VT
2009,Bohemian-Style Pilsener,silver,Gordon Biersch Czech Pilsner,Gordon Biersch Brewery,Broomfield,CO
2009,Bohemian-Style Pilsener,bronze,Bell’s Lager Beer,Bell’s Brewery,Galesburg,MI
2009,American-Style Strong Pale Ale,gold,Racer 5 IPA,Bear Republic Brewing,Cloverdale,CA
2009,American-Style Strong Pale Ale,silver,Hopshot IPA,Beaver St. Brewery,Flagstaff,AZ
2009,American-Style Strong Pale Ale,bronze,IPA Nectar,Firestone Walker,Paso Robles,CA
2009,Irish-Style Red Ale,gold,Ridgetop Red,Silver City Brewery,Silverdale,WA
2009,Irish-Style Red Ale,silver,Colorado Boy Irish,Colorado Boy Pub & Brewery,Ridgway,CO
2009,Irish-Style Red Ale,bronze,Saranac Irish Red Ale,Saranac/F.,X. Matt Brewing Co.Utica,NY
2009,American-Style Dark Lager,gold,Session Black Premium Lager,Full Sail Brewing,Portland,OR
2009,American-Style Dark Lager,silver,Roadrunner Red Lager,Thunder Canyon Brewery,Tucson,AZ
2009,American-Style Dark Lager,bronze,Saranac Black Forest,Saranac/F.,X. Matt Brewing Co.Utica,NY
2009,Baltic-Style Porter,gold,Duck-Rabbit Baltic Porter,The Duck-Rabbit Craft Brewery,Farmville,NC
2009,Baltic-Style Porter,silver,Danzig,Devil’s Backbone Brewing Co.,Roseland,VA
2009,Baltic-Style Porter,bronze,Veles Baltic Porter,Fire,House Grill & BrewerySunnyvale,CA
2009,French- and Belgian-Style Saison,gold,Saison Vautour,McKenzie Brew House,Glen Mills,PA
2009,French- and Belgian-Style Saison,silver,Belgian Summer Ale,Great Adirondack Brewing Co.,Lake Placid,NY
2009,French- and Belgian-Style Saison,bronze,Saison Du Bastone,Bastone Brewery,Royal Oak,MI
2009,International-Style Pilsener,gold,Gold Leaf Lager,Devil’s Backbone Brewing Co.,Roseland,VA
2009,International-Style Pilsener,silver,OE800,Miller Brewing,Golden,CO
2009,International-Style Pilsener,bronze,Gold Mountain Pilsner,Silver City Brewery,Silverdale,WA
2009,English-Style Summer Ale,gold,Light Rock Ale,RJ Rockers Brewing Co.,Spartanburg,SC
2009,English-Style Summer Ale,silver,Surfer’s Summer Ale,Pelican Pub,Pacific City,OR
2009,English-Style Summer Ale,bronze,True Blonde Ale,Ska Brewing,Durango,CO
2009,Sweet Stout,gold,Cow Stout,Pizza Port,Carlsbad,CA
2009,Sweet Stout,silver,Cream Stout,Redwood Brewing,Flint,MI
2009,Sweet Stout,bronze,Steel Toe Stout,Ska Brewing,Durango,CO
2009,Other Strong Beer,gold,Cardiff,Glenwood Canyon Brewing,Glenwood Springs,CO
2009,Other Strong Beer,silver,Winter Wheatwine,Rubicon Brewing Co.,Sacramento,CA
2009,Other Strong Beer,bronze,FiftyFifty Imperial Stout,Fifty,Fifty Brewing Co.Truckee,CA
2009,Herb and Spice or Chocolate Beer,gold,Stillwater Rye,Montana Brewing,Billings,MT
2009,Herb and Spice or Chocolate Beer,silver,Imperial Chocolate Stout,Rogue Ales,Newport,OR
2009,Herb and Spice or Chocolate Beer,bronze,Rude Elf’s Reserve,Fegley’s Allentown & Bethlehem Brew Works,Allentown,PA
2009,European Style Dunkel,gold,Dunkel,Chuckanut Brewery,Bellingham,WA
2009,European Style Dunkel,silver,Gordon Biersch Dunkles,Gordon Biersch Brewery,Broomfield,CO
2009,European Style Dunkel,bronze,Dunkel,AC Golden Brewing Co.,Golden,CO
2009,Classic English-Style Pale Ale,gold,Mactarnahan’s Amber,Pyramid Breweries,Seattle,WA
2009,Classic English-Style Pale Ale,silver,Mirror Pond Pale Ale,Deschutes Brewery,Bend,OR
2009,Classic English-Style Pale Ale,bronze,Hopfish,Flying Fish Brewing Co.,Cherry Hill,NJ
2009,Imperial Stout,gold,Gonzo Imperial Porter,Flying Dog Brewery,Frederick,MD
2009,Imperial Stout,silver,Yeti Imperial Stout,Great Divide Brewing,Denver,CO
2009,Imperial Stout,bronze,Sexual Chocolate Imperial Stout,Foothills Brewing,Winston-Salem,NC
2009,American-Style Wheat Beer,gold,County Seat Wheat,Blind Tiger Brewery,Topeka,KS
2009,American-Style Wheat Beer,silver,Shredders Wheat,Barley Brothers Brewery,Baker City,OR
2009,American-Style Wheat Beer,bronze,Double Eagle Ale,Rockyard Brewing Co.,Castle Rock,CO
2009,American-Style Light Lager,gold,Budweiser Select,Anheuser-Busch,Saint Louis,MO
2009,American-Style Light Lager,silver,Keystone Light,Coors Brewing,Golden,CO
2009,American-Style Light Lager,bronze,Michelob Ultra,Anheuser-Busch,Saint Louis,MO
2009,Smoke Beer,gold,Smokejumper,Left Hand Brewing Co.,Longmont,CO
2009,Smoke Beer,silver,Up In Smoke,Fat Head’s Brewery & Saloon,North Olmsted,OH
2009,Smoke Beer,bronze,Diesel Imperial Smoked Porter,21st Amendment,San Francisco,CA
2009,American-Style Stout,gold,Liberty Stout,Gella's Diner,Hays,KS
2009,American-Style Stout,silver,Troegs Dead Reckoning,Troegs Brewery,Harrisburg,PA
2009,American-Style Stout,bronze,Stonefly Oatmeal Stout,Third Street Ale Works,Santa Rosa,CA
2009,Foreign-Style Stout,gold,Space Stout,Laurelwood Brewing,Portland,OR
2009,Foreign-Style Stout,silver,San Quentin’s Breakout Stout,Marin Brewing,Larkspur,CA
2009,Foreign-Style Stout,bronze,Whiteface Black Diamond Stout,Great Adirondack Brewing Co.,Lake Placid,NY
2009,Wood- and Barrel-Aged Beer,gold,Humidor Series IPA,Cigar City Brewing,Tampa,FL
2009,Wood- and Barrel-Aged Beer,silver,Red Woody,Goose Island Beer Co.,Chicago,IL
2009,Wood- and Barrel-Aged Beer,bronze,Red Brick Anniversary Ale 15,Red Brick-Atlanta Brewing Co.,Atlanta,GA
2009,Ordinary or Special Bitter,gold,Big Rapid Red,Beaver St. Brewery,Flagstaff,AZ
2009,Ordinary or Special Bitter,silver,Cutthroat Pale Ale,Uinta Brewing,Salt Lake City,UT
2009,Ordinary or Special Bitter,bronze,Numbers Ale,Red Brick-Atlanta Brewing Co.,Atlanta,GA
2009,American-Style Pale Ale,gold,Sweetgrass IPA,Grand Teton Brewing,Victor,ID
2009,American-Style Pale Ale,silver,44 Pale Ale,Colorado Brewing Co./Draft House,Boulder,CO
2009,American-Style Pale Ale,bronze,Tumble Off Pale Ale,Barley Brothers Brewery,Baker City,OR
2009,Rye Beer,gold,Crazy Jackass Ale,Great American Restaurants,Centreville,VA
2009,Rye Beer,silver,Blue Point Brewing Co. RastafaRye,Blue Point Brewing Co.,Patchogue,NY
2009,Rye Beer,bronze,Hoss,Great Divide Brewing,Denver,CO
2009,Kellerbier or Zwickelbier,gold,Hell In Keller,Uncle Billy’s Brew & Que,Austin,TX
2009,Kellerbier or Zwickelbier,silver,Natural Born Keller,Devil’s Backbone Brewing Co.,Roseland,VA
2009,Kellerbier or Zwickelbier,bronze,Red Rock Organic Zwickel Bier,Red Rock Brewing,Salt Lake City,UT
2009,Munich-Style Helles,gold,Saint Arnold Summer Pils,Saint Arnold Brewing,Houston,TX
