year,style,medal,beer,brewery,city,state
1999,German-Style Dopplebock,gold,Hogback Doppelbock,Mountain Sun Pub,Boulder,CO
1999,German-Style Dopplebock,silver,,,,
1999,German-Style Dopplebock,bronze,Dopplebock,H.C. Berger Brewing,Fort Collins,CO
1999,Specialty Beer,gold,Island City Wild Rice Lager,Minocqua Brewing Company,Minocqua,WI
1999,Specialty Beer,silver,Erie Nights Pumpkin Brew,Crooked River Brewing,Cleveland,OH
1999,Specialty Beer,bronze,Captain Smith's Rye,Titanic Brewing,Coral Gables,FL
1999,German-Style Schwarzbier,gold,Black Hole Lager,Brew Moon,Braintree,MA
1999,German-Style Schwarzbier,silver,Kings Peak,Uinta Brewing,Salt Lake City,UT
1999,German-Style Schwarzbier,bronze,Schwarzbier,Three Needs,Burlington,VT
1999,Vienna-Style Lager,gold,Iron Range Amber Lager,James Page Brewing,Minneapolis,MN
1999,Vienna-Style Lager,silver,Snake River Lager,Snake River Brewing,Jackson,WY
1999,Vienna-Style Lager,bronze,Vienna,Iron Hill Brewery,West Chester,PA
1999,India Pale Ale,gold,Racer 5 IPA,Bear Republic Brewing,Healdsburg,CA
1999,India Pale Ale,silver,Marin IPA,Marin Brewing,Larkspur,CA
1999,India Pale Ale,bronze,Lucknow India Pale Ale,Castle Springs Brewing,Moultonborough,NH
1999,English-Style Brown Ale,gold,Offshore Nut Brown,Offshore Ale Company,Oak Bluffs,MA
1999,English-Style Brown Ale,silver,Nut Brown Ale,Park Slope Brewing Company,Brooklyn,NY
1999,English-Style Brown Ale,bronze,Old Elk Brown,Walnut Brewery,Louisville,CO
1999,American-Style Brown Ale,gold,Doryman's Dark Ale,Pelican Pub,Pacific City,OR
1999,American-Style Brown Ale,silver,Emerald Irish Ale,Steelhead Brewery,Burlingame,CA
1999,American-Style Brown Ale,bronze,Burly Brown Ale,James Page Brewing,Minneapolis,MN
1999,Chocolate / Cocoa Flavored Beer,gold,,,,
1999,Chocolate / Cocoa Flavored Beer,silver,,,,
1999,Chocolate / Cocoa Flavored Beer,bronze,Chocolate Thunder Porter,Watch City Brewing Company,Waltham,MA
1999,American-Style Amber / Red Ale,gold,Red Nectar,Humboldt Brewery,Arcata,CA
1999,American-Style Amber / Red Ale,silver,Capstone ESB,Oasis Brewery,Boulder,CO
1999,American-Style Amber / Red Ale,bronze,Believer's Bitter,Angelic Brewing,Madison,WI
1999,English-Style Bitter,gold,,,,
1999,English-Style Bitter,silver,Dergy's Amber,Wilmington Brewing Company,Wilmington,NC
1999,English-Style Bitter,bronze,Red Butte Bitter,Desert Edge Brewery,Salt Lake City,UT
1999,Belgian and French-Style Specialty Ales,gold,Waterloo Grand Cru,Waterloo Brewing Company,Austin,TX
1999,Belgian and French-Style Specialty Ales,silver,Western Reserve Cloud Nine,Western Reserve Brewing,Cleveland,OH
1999,Belgian and French-Style Specialty Ales,bronze,La Conner Red,La Conner Brewing Company,La Conner,WA
1999,German-Style Märzen / Oktoberfest,gold,Black Forest Oktoberfest,Black Forest Brew Haus LLC.,Farmingdale,NY
1999,German-Style Märzen / Oktoberfest,silver,Atwater Blocktoberfest,Atwater Block Brewery,Detroit,MI
1999,German-Style Märzen / Oktoberfest,bronze,Tabernash Oktoberfest,Tabernash Brewing,Longmont,CO
1999,Other Strong Ale or Lager,gold,Dragontooth Stout,Elysian Brewery,Seattle,WA
1999,Other Strong Ale or Lager,silver,Ricardo's Red Rocket,Bear Republic Brewing,Healdsburg,CA
1999,Other Strong Ale or Lager,bronze,Bell's Expedition Stout,Kalamazoo Brewing,Kalamazoo,MI
1999,Non-Alcoholic (Beer) Malt Beverages,gold,Old Milwaukee NA,The Stroh Brewery Company,Fogelsville,PA
1999,Non-Alcoholic (Beer) Malt Beverages,silver,,,,
1999,Non-Alcoholic (Beer) Malt Beverages,bronze,O'Doul's,Anheuser-Busch,St. Louis,MI
1999,American-Style Amber Lager,gold,New South Oktoberfest,New South Brewing,Myrtle Beach,SC
1999,American-Style Amber Lager,silver,Auburn,Mad Anthony Brewing,Ft. Wayne,IN
1999,American-Style Amber Lager,bronze,Oktoberfest,T-Bonz Homegrown Ales,Myrtle Beach,SC
1999,Imperial Stout,gold,Old Rasputin,North Coast Brewing,Fort Bragg,CA
1999,Imperial Stout,silver,John Wayne Imperial Stout,Newport Beach Brewing,Newport Beach,CA
1999,Imperial Stout,bronze,Fat Cat,Liberty Street Brewing Company,Akron,OH
